item_id,tag_id
0,10
0,16
0,13
0,6
0,5
1,10
1,13
1,5
2,6
2,1
3,6
3,12
3,1
4,6
5,7
5,8
5,4
6,6
6,1
7,10
7,13
8,7
9,7
9,10
9,4
10,6
10,12
10,1
11,6
11,14
12,10
12,16
12,13
13,12
14,7
14,10
14,1
15,8
15,12
16,12
16,1
17,6
18,6
19,7
19,6
19,8
19,12
19,4
20,6
20,8
20,4
21,8
21,12
21,14
21,2
21,4
22,7
22,8
22,4
23,12
23,3
24,12
24,1
25,12
26,13
26,12
27,12
27,1
28,10
28,12
28,5
28,2
28,3
29,8
29,12
30,12
31,2
31,3
31,4
32,13
32,12
33,8
33,12
34,13
34,6
35,6
35,1
36,12
37,12
37,0
38,7
38,8
38,12
39,12
40,7
40,10
40,5
41,6
41,12
41,4
42,12
42,1
43,2
43,4
44,16
44,13
44,12
44,11
44,1
45,12
45,1
46,8
46,2
46,4
47,6
47,12
47,1
48,10
48,12
49,13
49,6
50,12
51,12
52,6
52,12
52,1
53,10
53,13
53,5
54,12
54,4
55,12
56,6
56,8
57,6
57,1
58,6
59,7
59,3
59,4
60,6
60,1
61,6
62,7
62,6
62,14
62,4
63,7
64,6
64,12
65,12
65,0
66,12
66,1
67,6
67,12
68,7
68,3
68,4
69,15
70,7
70,8
70,12
70,4
71,12
71,4
72,13
72,12
73,8
73,12
73,1
74,6
74,12
75,12
75,1
76,12
76,1
77,7
77,10
77,12
78,13
78,6
79,6
80,7
80,4
81,12
81,14
81,4
82,6
82,14
82,1
83,6
83,12
83,1
84,7
84,10
84,4
85,6
85,12
86,8
86,12
87,15
88,12
88,4
89,10
89,6
89,8
89,1
90,6
91,2
91,3
91,4
92,6
93,12
93,1
94,6
94,12
95,10
95,13
95,6
95,11
96,15
97,7
97,12
97,0
98,8
98,12
98,4
99,7
99,10
99,6
99,8
100,12
100,2
101,15
102,8
102,12
103,6
103,1
104,6
105,12
106,6
106,1
107,12
107,2
107,1
108,6
109,10
109,13
109,5
110,15
111,6
111,1
112,4
113,6
114,15
115,12
115,1
116,6
117,6
118,7
118,6
118,8
118,12
118,4
119,10
119,13
120,12
121,12
122,8
122,12
122,4
123,10
123,12
123,9
124,7
124,12
124,1
124,0
125,12
125,14
126,7
126,10
126,6
126,8
127,12
128,10
128,12
128,0
129,6
129,12
130,6
130,0
131,10
131,13
132,8
132,12
132,2
133,7
133,10
133,2
133,3
134,12
134,4
134,0
135,15
136,7
136,1
136,18
137,8
137,17
137,2
137,4
138,7
138,8
138,4
139,6
139,8
139,12
140,7
140,12
140,1
141,10
141,13
141,12
142,7
142,10
142,8
142,4
143,6
143,12
144,7
144,3
144,4
145,7
145,8
145,3
146,6
147,12
148,6
149,14
150,6
150,12
151,12
151,1
152,6
152,1
153,7
153,13
154,6
154,14
154,4
155,12
156,7
156,8
156,4
157,6
157,1
158,6
159,5
159,14
159,2
160,6
160,5
161,4
162,12
162,1
163,12
164,6
164,12
165,6
165,12
165,1
166,14
166,3
167,7
167,8
167,12
167,2
167,3
167,4
168,12
168,11
168,1
169,12
169,5
170,12
170,1
171,6
172,7
173,6
173,12
174,15
175,12
175,1
176,7
176,10
176,3
177,12
178,18
179,12
180,10
180,6
180,8
180,2
181,12
182,12
182,0
183,12
183,1
184,6
185,12
185,4
186,6
186,12
187,12
188,14
189,12
189,1
190,6
191,6
191,12
191,1
192,12
192,4
193,7
193,4
194,6
195,12
195,4
196,12
196,4
197,10
197,6
198,6
198,12
198,1
199,12
200,6
201,6
201,12
202,7
202,6
202,1
203,6
203,1
204,10
204,13
205,16
205,13
205,6
205,1
206,4
207,13
207,12
208,12
208,11
209,13
209,6
209,5
210,15
211,8
211,12
212,6
213,12
213,1
214,13
214,6
215,7
216,6
216,1
217,12
217,14
218,12
219,6
220,6
220,3
221,2
221,4
222,10
222,13
222,6
222,5
222,1
223,8
223,12
223,4
224,7
224,10
224,3
225,12
226,13
226,12
227,12
228,12
228,5
228,1
229,12
229,1
229,0
229,18
230,6
231,12
232,12
232,1
233,12
234,6
234,12
235,12
235,14
235,3
236,6
237,6
238,6
238,1
239,12
240,6
241,12
242,12
242,4
243,6
243,12
243,1
244,12
245,8
245,12
246,7
246,8
247,12
247,14
248,6
248,1
249,7
249,8
249,4
250,6
250,1
251,8
251,12
252,12
252,4
253,7
253,12
253,3
253,4
254,7
254,8
254,12
254,4
255,6
255,1
256,6
256,1
257,6
257,8
257,12
257,4
258,12
259,12
260,12
261,12
261,1
262,12
262,1
263,7
263,4
263,18
264,6
264,12
265,6
266,12
267,12
268,6
268,12
269,6
270,14
270,4
271,6
272,16
272,13
273,13
273,12
273,5
273,2
274,7
274,12
274,4
275,7
275,10
275,3
276,6
276,12
276,5
277,8
277,12
278,6
278,12
278,4
279,17
279,4
280,12
281,6
281,12
282,6
282,12
283,6
284,12
285,7
285,6
285,3
286,14
286,4
287,10
