trial_number,lr,l2,tag_num_gnn_layers,tag_negative_slope,feat_drop,attn_drop,layer_num,loss
0,2.166961e-03,3.929012e-04,5,1.355162e-02,4.045400e-01,3.140150e-01,3,2.000000e-01
1,2.248350e-03,2.703026e-03,3,6.092180e-02,2.280146e-01,2.585622e-01,4,2.000000e-01
2,1.471761e-03,4.510986e-04,3,9.085601e-02,3.826163e-01,3.590411e-01,4,2.000000e-01
3,1.406313e-03,1.268459e-03,4,8.272980e-02,3.106222e-01,4.875508e-01,5,2.000000e-01
4,1.076891e-03,8.370878e-04,4,1.617951e-02,4.558688e-01,4.633777e-01,3,2.000000e-01
5,1.112249e-03,2.070624e-04,2,2.973047e-02,4.720466e-01,1.436976e-01,5,2.000000e-01
6,7.424793e-04,2.336984e-04,2,7.100615e-02,2.004945e-01,4.830419e-01,4,2.000000e-01
7,8.761010e-04,8.171669e-04,2,1.514640e-02,3.656751e-01,1.738492e-01,4,2.000000e-01
8,7.233689e-04,1.693914e-03,4,1.412108e-02,2.055443e-01,1.464567e-01,5,2.000000e-01
9,1.421157e-03,2.039162e-03,2,5.477911e-02,1.978486e-01,4.535562e-01,5,2.000000e-01
10,4.541174e-03,4.878588e-03,5,3.669717e-02,1.226612e-01,3.243323e-01,3,2.000000e-01
11,2.855004e-03,3.746510e-03,5,5.851319e-02,3.002787e-01,2.402223e-01,3,2.000000e-01
12,2.451458e-03,4.221352e-04,3,3.495178e-02,3.866013e-01,2.544347e-01,3,2.000000e-01
13,2.379625e-03,2.819683e-03,3,2.048198e-03,2.592610e-01,3.506171e-01,4,2.000000e-01
14,3.452846e-03,5.176428e-04,5,6.788337e-02,1.218709e-01,2.635985e-01,3,2.000000e-01
15,2.019548e-03,3.422667e-04,4,5.047206e-02,4.995907e-01,4.098064e-01,4,2.000000e-01
16,5.281449e-04,1.190239e-03,3,4.573954e-02,4.302505e-01,2.124789e-01,3,2.000000e-01
17,2.021634e-03,2.287572e-03,5,7.192726e-02,2.490688e-01,3.016239e-01,4,2.000000e-01
18,3.842075e-03,7.051965e-04,4,2.150109e-03,3.391335e-01,1.009299e-01,3,2.000000e-01
19,1.897343e-03,2.912126e-04,3,9.845274e-02,2.491689e-01,3.893658e-01,4,2.000000e-01
20,3.118050e-03,6.341909e-04,5,2.564372e-02,4.106298e-01,2.892118e-01,5,2.000000e-01
21,1.702356e-03,4.533583e-04,3,9.847415e-02,3.469614e-01,3.637709e-01,4,2.000000e-01
22,2.479329e-03,3.161663e-04,3,8.445836e-02,4.069877e-01,3.303063e-01,4,2.000000e-01
23,1.288746e-03,5.317614e-04,3,8.659053e-02,3.717744e-01,4.189272e-01,4,2.000000e-01
24,1.647083e-03,1.064781e-03,4,6.278018e-02,3.301880e-01,2.112766e-01,4,2.000000e-01
25,2.239967e-03,1.477000e-03,3,4.244422e-02,1.681175e-01,2.950504e-01,3,2.000000e-01
26,1.107880e-03,3.892925e-04,2,7.857763e-02,2.756359e-01,3.726042e-01,4,2.000000e-01
27,2.837199e-03,2.746689e-04,4,9.209252e-02,4.267386e-01,3.292718e-01,5,2.000000e-01
28,1.717816e-03,6.166140e-04,3,7.682396e-02,4.519692e-01,2.169049e-01,3,2.000000e-01
29,1.380666e-03,3.044008e-03,4,9.034953e-02,3.037128e-01,2.668602e-01,5,2.000000e-01
30,4.606080e-03,9.240116e-04,3,6.416163e-02,1.594429e-01,4.074257e-01,4,2.000000e-01
31,1.466088e-03,1.246520e-03,4,8.167437e-02,3.089019e-01,4.455641e-01,5,2.000000e-01
32,1.167713e-03,1.494754e-03,5,9.124041e-02,3.865542e-01,4.677842e-01,5,2.000000e-01
33,9.266293e-04,2.306214e-04,4,7.465443e-02,2.223932e-01,4.994791e-01,4,2.000000e-01
34,1.848780e-03,8.081257e-04,2,2.750345e-02,2.815619e-01,4.311125e-01,5,2.000000e-01
35,9.575706e-04,2.006131e-04,5,9.410793e-03,4.603581e-01,3.114011e-01,4,2.000000e-01
36,1.306137e-03,2.101136e-03,4,5.490702e-02,3.260818e-01,1.859972e-01,4,2.000000e-01
37,1.501364e-03,1.731841e-03,2,2.156099e-02,3.545735e-01,2.814190e-01,5,2.000000e-01
38,7.618949e-04,4.937881e-03,3,6.714200e-02,3.837297e-01,2.392130e-01,3,2.000000e-01
39,2.228175e-03,2.839587e-03,2,3.433481e-02,2.195991e-01,3.545298e-01,5,2.000000e-01
40,1.211035e-03,3.876861e-03,4,4.340340e-02,4.859795e-01,3.429226e-01,4,2.000000e-01
41,1.101930e-03,9.015760e-04,4,1.609726e-02,4.430400e-01,4.797007e-01,3,2.000000e-01
42,1.025372e-03,5.095984e-04,5,1.148913e-02,4.782334e-01,4.589619e-01,3,2.000000e-01
43,8.429256e-04,3.664932e-04,4,1.769169e-02,4.069960e-01,4.992427e-01,3,2.000000e-01
44,1.540113e-03,7.782758e-04,3,8.903694e-03,4.287855e-01,3.858694e-01,3,2.000000e-01
45,6.412178e-04,2.434558e-03,5,3.229684e-02,1.009379e-01,4.434002e-01,3,2.000000e-01
46,2.055940e-03,4.457467e-04,3,3.939868e-02,3.653817e-01,4.767470e-01,3,2.000000e-01
47,2.702295e-03,6.210561e-04,4,5.570372e-03,2.731921e-01,2.407758e-01,4,2.000000e-01
48,3.321791e-03,1.118095e-03,3,4.914729e-02,1.854673e-01,3.161718e-01,3,2.000000e-01
49,1.722954e-03,1.789922e-03,5,5.734127e-02,4.627882e-01,3.943651e-01,4,2.000000e-01
